64 103 -1 [0, 1, -1, 0, 0, 1, 0, 0, 0] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
64 104 -1 [0, 1, -1, 0, 0, 0, 1, 0, 0] 6 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
64 105 -1 [0, 1, -1, 0, 0, 0, 0, 1, 0] 7 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
64 106 -1 [0, 1, -1, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
65 93 -1 [1, 1, 0, -1, 0, 0, 0, 0, 0] 0 {'N': 217, 'W': 194, 'Q': 0.8940092165898618, 'P': None}
65 94 -1 [0, 1, 1, -1, 0, 0, 0, 0, 0] 2 {'N': 164, 'W': 152, 'Q': 0.926829268292683, 'P': None}
65 95 -1 [0, 1, 0, -1, 1, 0, 0, 0, 0] 4 {'N': 175, 'W': 133, 'Q': 0.76, 'P': None}
65 96 -1 [0, 1, 0, -1, 0, 1, 0, 0, 0] 5 {'N': 3, 'W': 1, 'Q': 0.3333333333333333, 'P': None}
65 97 -1 [0, 1, 0, -1, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
65 98 -1 [0, 1, 0, -1, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
65 99 -1 [0, 1, 0, -1, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 127 -1 [1, 1, 0, 0, 0, -1, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 128 -1 [0, 1, 1, 0, 0, -1, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 129 -1 [0, 1, 0, 1, 0, -1, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 130 -1 [0, 1, 0, 0, 1, -1, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 131 -1 [0, 1, 0, 0, 0, -1, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 132 -1 [0, 1, 0, 0, 0, -1, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
67 133 -1 [0, 1, 0, 0, 0, -1, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 71 -1 [1, 1, 0, 0, 0, 0, 0, 0, -1] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 72 -1 [0, 1, 1, 0, 0, 0, 0, 0, -1] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 73 -1 [0, 1, 0, 1, 0, 0, 0, 0, -1] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 74 -1 [0, 1, 0, 0, 1, 0, 0, 0, -1] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 75 -1 [0, 1, 0, 0, 0, 1, 0, 0, -1] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
70 76 -1 [0, 1, 0, 0, 0, 0, 1, 0, -1] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
