56 63 -1 [-1, 0, 0, 0, 0, 0, 0, -1, 1] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
71 181 -1 [1, -1, -1, -1, 1, 1, -1, 1, -1] 2 {'N': 272, 'W': -262, 'Q': -0.9632352941176471, 'P': None}
71 182 -1 [1, -1, 0, -1, 1, 0, 0, -1, 1] 3 {'N': 238, 'W': -104, 'Q': -0.4369747899159664, 'P': None}
71 183 -1 [1, -1, -1, 0, -1, 1, 1, -1, 0] 4 {'N': 3, 'W': -1, 'Q': -0.3333333333333333, 'P': None}
71 184 -1 [1, -1, 0, 0, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
71 185 -1 [1, -1, 1, -1, -1, -1, -1, 1, 1] 6 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
71 186 -1 [1, -1, 1, 0, -1, -1, 0, -1, 1] 7 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
71 187 -1 [1, -1, 0, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
72 140 -1 [-1, -1, 1, -1, 1, 1, -1, 1, -1] 0 {'N': 280, 'W': -257, 'Q': -0.9178571428571428, 'P': None}
72 141 -1 [1, -1, 1, -1, -1, 1, 1, -1, -1] 3 {'N': 265, 'W': -117, 'Q': -0.44150943396226416, 'P': None}
72 142 -1 [0, -1, 1, 0, -1, 0, 1, -1, 0] 4 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
72 143 -1 [-1, -1, 1, -1, 1, -1, -1, 1, 1] 5 {'N': 3, 'W': 0, 'Q': 0.0, 'P': None}
72 144 -1 [0, -1, 1, 0, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
72 145 -1 [0, -1, 1, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
72 146 -1 [-1, -1, 1, 1, -1, 1, -1, 1, -1] 8 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
73 120 -1 [-1, -1, 1, 1, 1, -1, -1, 1, -1] 0 {'N': 299, 'W': -253, 'Q': -0.8461538461538461, 'P': None}
73 121 -1 [-1, -1, -1, 1, 0, 1, 0, 0, 0] 2 {'N': 278, 'W': -268, 'Q': -0.9640287769784173, 'P': None}
73 122 -1 [1, -1, 0, 1, -1, 1, 0, -1, -1] 4 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
